Federal_Provider_Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Description,Deficiency Tag Number,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Location,Processing Date,,
465091,DRAPER REHABILITATION AND CARE CENTER,12702 SOUTH FORT STREET,DRAPER,UT,84020,09/11/2019 12:00:00 AM,Health,false,Environmental Deficiencies,Provide and implement an infection prevention and control program.,880,D,"Deficient, Provider has date of correction",09/27/2019 12:00:00 AM,1,true,false,"12702 SOUTH FORT STREET DRAPER, UT 84020 (40.520724, -111.86467)",04/01/2020 12:00:00 AM,,
465067,ROCKY MOUNTAIN CARE - CLEARFIELD,1481 EAST 1450 SOUTH,CLEARFIELD,UT,84015,01/10/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Implement gradual dose reductions(GDR) and non-pharmacological interventions, unless contraindicated, prior to initiating or instead of continuing psychotropic medication; and PRN orders for psychotropic medications are only used when the medication is ne",758,D,"Deficient, Provider has date of correction",02/15/2019 12:00:00 AM,2,true,false,"1481 EAST 1450 SOUTH CLEARFIELD, UT 84015 (41.092837, -111.997821)",04/01/2020 12:00:00 AM,,
465084,UINTAH BASIN REHABILITATION AND SENIOR VILLA,265 NORTH 300 WEST,ROOSEVELT,UT,84066,04/05/2018 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,842,D,"Deficient, Provider has date of correction",05/14/2018 12:00:00 AM,2,true,false,"265 NORTH 300 WEST ROOSEVELT, UT 84066 (40.302939, -109.997087)",04/01/2020 12:00:00 AM,,
465067,ROCKY MOUNTAIN CARE - CLEARFIELD,1481 EAST 1450 SOUTH,CLEARFIELD,UT,84015,02/10/2020 12:00:00 AM,Health,false,Environmental Deficiencies,Provide and implement an infection prevention and control program.,880,D,"Deficient, Provider has date of correction",03/10/2020 12:00:00 AM,1,true,false,"1481 EAST 1450 SOUTH CLEARFIELD, UT 84015 (41.092837, -111.997821)",04/01/2020 12:00:00 AM,,
465097,HERITAGE CARE CENTER,350 EAST 300 NORTH,AMERICAN FORK,UT,84003,09/28/2017 12:00:00 AM,Health,false,Environmental Deficiencies,Ensure that a nursing home area is free from accident hazards and provide adequate supervision to prevent avoidable accidents.,323,G,"Deficient, Provider has date of correction",12/06/2017 12:00:00 AM,3,true,true,"350 EAST 300 NORTH AMERICAN FORK, UT 84003 (40.383001, -111.78915)",04/01/2020 12:00:00 AM,,
465115,THE TERRACE AT MT OGDEN,400 EAST 5350 SOUTH,OGDEN,UT,84405,03/06/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure residents do not lose the ability to perform activities of daily living unless there is a medical reason.,676,D,"Deficient, Provider has date of correction",04/15/2019 12:00:00 AM,1,true,true,"400 EAST 5350 SOUTH OGDEN, UT 84405 (41.166107, -111.970993)",04/01/2020 12:00:00 AM,,
465112,LIFE CARE CENTER OF BOUNTIFUL,460 WEST 2600 SOUTH,BOUNTIFUL,UT,84010,01/09/2020 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,Plan the resident's discharge to meet the resident's goals and needs.,660,D,"Deficient, Provider has date of correction",02/29/2020 12:00:00 AM,1,true,true,"460 WEST 2600 SOUTH BOUNTIFUL, UT 84010 (40.861574, -111.885632)",04/01/2020 12:00:00 AM,,
465067,ROCKY MOUNTAIN CARE - CLEARFIELD,1481 EAST 1450 SOUTH,CLEARFIELD,UT,84015,02/10/2020 12:00:00 AM,Health,false,Nursing and Physician Services Deficiencies,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,726,D,"Deficient, Provider has date of correction",03/10/2020 12:00:00 AM,1,true,false,"1481 EAST 1450 SOUTH CLEARFIELD, UT 84015 (41.092837, -111.997821)",04/01/2020 12:00:00 AM,,
465064,ST GEORGE REHABILITATION,1032 EAST 100 SOUTH,ST GEORGE,UT,84770,03/08/2018 12:00:00 AM,Health,false,Administration Deficiencies,Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.,867,E,"Deficient, Provider has date of correction",05/03/2018 12:00:00 AM,2,true,false,"1032 EAST 100 SOUTH ST GEORGE, UT 84770 (37.10639, -113.561074)",04/01/2020 12:00:00 AM,,
465072,CITY CREEK POST-ACUTE,165 SOUTH 1000 EAST,SALT LAKE CITY,UT,84102,08/03/2017 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Provide medically-related social services to help each resident achieve the highest possible quality of life.,250,E,"Deficient, Provider has date of correction",08/31/2017 12:00:00 AM,3,true,false,"165 SOUTH 1000 EAST SALT LAKE CITY, UT 84102 (40.765707, -111.862465)",04/01/2020 12:00:00 AM,,
465083,CRESTWOOD REHABILITATION AND NURSING,3665 BRINKER AVENUE,OGDEN,UT,84403,03/26/2018 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",656,D,"Deficient, Provider has date of correction",04/23/2018 12:00:00 AM,2,true,false,"3665 BRINKER AVENUE OGDEN, UT 84403 (41.196421, -111.950178)",04/01/2020 12:00:00 AM,,
465075,ROCKY MOUNTAIN CARE - HUNTER HOLLOW,4090 WEST PIONEER PARKWAY,WEST VALLEY CITY,UT,84120,12/01/2016 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,Provide special eating equipment and utensils for each resident who needs them.,369,D,"Deficient, Provider has date of correction",12/16/2016 12:00:00 AM,3,true,false,"4090 WEST PIONEER PARKWAY WEST VALLEY CITY, UT 84120 (40.69839, -111.988691)",04/01/2020 12:00:00 AM,,
465096,CANYON RIM CARE CENTER,2730 EAST 3300 SOUTH,SALT LAKE CITY,UT,84109,04/26/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure each resident�s drug regimen must be free from unnecessary drugs.,757,D,"Deficient, Provider has date of correction",05/23/2018 12:00:00 AM,2,true,false,"2730 EAST 3300 SOUTH SALT LAKE CITY, UT 84109 (40.699803, -111.814113)",04/01/2020 12:00:00 AM,,
465059,RICHFIELD REHABILITATION AND CARE CENTER,163 EAST 1000 NORTH,RICHFIELD,UT,84701,08/29/2017 12:00:00 AM,Health,false,Environmental Deficiencies,"Make sure there is a pest control program to prevent/deal with mice, insects, or other pests.",469,F,"Deficient, Provider has date of correction",10/13/2017 12:00:00 AM,3,true,false,"163 EAST 1000 NORTH RICHFIELD, UT 84701 (38.782021, -112.082676)",04/01/2020 12:00:00 AM,,
465112,LIFE CARE CENTER OF BOUNTIFUL,460 WEST 2600 SOUTH,BOUNTIFUL,UT,84010,01/10/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure medication error rates are not 5 percent or greater.,759,D,"Deficient, Provider has date of correction",03/04/2019 12:00:00 AM,2,true,false,"460 WEST 2600 SOUTH BOUNTIFUL, UT 84010 (40.861574, -111.885632)",04/01/2020 12:00:00 AM,,
465109,HOLLADAY HEALTHCARE CENTER,4782 SOUTH HOLLADAY BOULEVARD,SALT LAKE CITY,UT,84117,06/08/2017 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,"Assist those residents who need help with eating/drinking, grooming and personal and oral hygiene.",312,E,"Deficient, Provider has date of correction",07/07/2017 12:00:00 AM,3,true,false,"4782 SOUTH HOLLADAY BOULEVARD SALT LAKE CITY, UT 84117 (40.665761, -111.821558)",04/01/2020 12:00:00 AM,,
465067,ROCKY MOUNTAIN CARE - CLEARFIELD,1481 EAST 1450 SOUTH,CLEARFIELD,UT,84015,10/16/2017 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Maintain drug records and properly mark/label drugs and other similar products according to accepted professional standards.,431,E,"Deficient, Provider has date of correction",11/15/2017 12:00:00 AM,3,true,true,"1481 EAST 1450 SOUTH CLEARFIELD, UT 84015 (41.092837, -111.997821)",04/01/2020 12:00:00 AM,,
465075,ROCKY MOUNTAIN CARE - HUNTER HOLLOW,4090 WEST PIONEER PARKWAY,WEST VALLEY CITY,UT,84120,12/12/2017 12:00:00 AM,Health,false,Resident Rights Deficiencies,Honor the resident's right to and the facility must promote and facilitate resident self-determination through support of resident choice.,561,D,"Deficient, Provider has date of correction",01/02/2018 12:00:00 AM,2,true,false,"4090 WEST PIONEER PARKWAY WEST VALLEY CITY, UT 84120 (40.69839, -111.988691)",04/01/2020 12:00:00 AM,,
465089,ROCKY MOUNTAIN CARE - WILLOW SPRINGS,85 EAST 2000 NORTH,TOOELE,UT,84074,08/16/2018 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Honor the resident's right to a dignified existence, self-determination, communication, and to exercise his or her rights.",550,E,"Deficient, Provider has date of correction",09/30/2018 12:00:00 AM,2,true,false,"85 EAST 2000 NORTH TOOELE, UT 84074 (40.565527, -112.301094)",04/01/2020 12:00:00 AM,,
465006,MT OLYMPUS REHABILITATION CENTER,2200 EAST 3300 SOUTH,SALT LAKE CITY,UT,84109,05/23/2019 12:00:00 AM,Health,false,Administration Deficiencies,"Keep complete, dated laboratory records in the resident's record.",775,D,"Deficient, Provider has date of correction",07/08/2019 12:00:00 AM,1,true,false,"2200 EAST 3300 SOUTH SALT LAKE CITY, UT 84109 (40.699837, -111.827709)",04/01/2020 12:00:00 AM,,
465075,ROCKY MOUNTAIN CARE - HUNTER HOLLOW,4090 WEST PIONEER PARKWAY,WEST VALLEY CITY,UT,84120,12/12/2017 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,"Provide appropriate care for a resident to maintain and/or improve range of motion (ROM), limited ROM and/or mobility, unless a decline is for a medical reason.",688,E,"Deficient, Provider has date of correction",01/02/2018 12:00:00 AM,2,true,false,"4090 WEST PIONEER PARKWAY WEST VALLEY CITY, UT 84120 (40.69839, -111.988691)",04/01/2020 12:00:00 AM,,
465064,ST GEORGE REHABILITATION,1032 EAST 100 SOUTH,ST GEORGE,UT,84770,04/03/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Implement gradual dose reductions(GDR) and non-pharmacological interventions, unless contraindicated, prior to initiating or instead of continuing psychotropic medication; and PRN orders for psychotropic medications are only used when the medication is ne",758,D,"Deficient, Provider has date of correction",05/13/2019 12:00:00 AM,1,true,false,"1032 EAST 100 SOUTH ST GEORGE, UT 84770 (37.10639, -113.561074)",04/01/2020 12:00:00 AM,,
465075,ROCKY MOUNTAIN CARE - HUNTER HOLLOW,4090 WEST PIONEER PARKWAY,WEST VALLEY CITY,UT,84120,06/05/2018 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Immediately tell the resident, the resident's doctor, and a family member of situations (injury/decline/room, etc.)  that affect the resident.",580,D,"Deficient, Provider has date of correction",06/08/2018 12:00:00 AM,2,false,true,"4090 WEST PIONEER PARKWAY WEST VALLEY CITY, UT 84120 (40.69839, -111.988691)",04/01/2020 12:00:00 AM,,
465067,ROCKY MOUNTAIN CARE - CLEARFIELD,1481 EAST 1450 SOUTH,CLEARFIELD,UT,84015,01/10/2019 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,Ensure each resident receives an accurate assessment.,641,D,"Deficient, Provider has date of correction",02/15/2019 12:00:00 AM,2,true,false,"1481 EAST 1450 SOUTH CLEARFIELD, UT 84015 (41.092837, -111.997821)",04/01/2020 12:00:00 AM,,
465098,PINNACLE NURSING AND REHABILITATION CENTER,1340 EAST 300 NORTH,PRICE,UT,84501,07/27/2017 12:00:00 AM,Health,false,Resident Rights Deficiencies,Provide care for residents in a way that maintains or improves their dignity and respect in full recognition of their individuality.,241,D,"Deficient, Provider has date of correction",09/22/2017 12:00:00 AM,3,true,true,"1340 EAST 300 NORTH PRICE, UT 84501 (39.604703, -110.793381)",04/01/2020 12:00:00 AM,,
465104,OREM REHABILITATION AND NURSING CENTER,575 EAST 1400 SOUTH,OREM,UT,84097,06/15/2017 12:00:00 AM,Health,false,Environmental Deficiencies,Ensure that a nursing home area is free from accident hazards and provide adequate supervision to prevent avoidable accidents.,323,D,"Deficient, Provider has date of correction",07/31/2017 12:00:00 AM,3,false,true,"575 EAST 1400 SOUTH OREM, UT 84097 (40.271489, -111.681473)",04/01/2020 12:00:00 AM,,
465090,CASCADES AT ORCHARD PARK,740 NORTH 300 EAST,OREM,UT,84057,05/24/2018 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",812,F,"Deficient, Provider has date of correction",07/06/2018 12:00:00 AM,2,true,false,"740 NORTH 300 EAST OREM, UT 84057 (40.311156, -111.688606)",04/01/2020 12:00:00 AM,,
465089,ROCKY MOUNTAIN CARE - WILLOW SPRINGS,85 EAST 2000 NORTH,TOOELE,UT,84074,05/24/2017 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Store, cook, and serve food in a safe and clean way.",371,E,"Deficient, Provider has date of correction",06/30/2017 12:00:00 AM,3,true,false,"85 EAST 2000 NORTH TOOELE, UT 84074 (40.565527, -112.301094)",04/01/2020 12:00:00 AM,,
465075,ROCKY MOUNTAIN CARE - HUNTER HOLLOW,4090 WEST PIONEER PARKWAY,WEST VALLEY CITY,UT,84120,12/12/2017 12:00:00 AM,Health,false,Environmental Deficiencies,Provide and implement an infection prevention and control program.,880,E,"Deficient, Provider has date of correction",01/02/2018 12:00:00 AM,2,true,true,"4090 WEST PIONEER PARKWAY WEST VALLEY CITY, UT 84120 (40.69839, -111.988691)",04/01/2020 12:00:00 AM,,
465020,PIONEER CARE CENTER,815 SOUTH 200 WEST,BRIGHAM CITY,UT,84302,05/01/2019 12:00:00 AM,Health,false,Resident Assessment and Care Planning Deficiencies,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,842,E,"Deficient, Provider has date of correction",05/28/2019 12:00:00 AM,1,false,true,"815 SOUTH 200 WEST BRIGHAM CITY, UT 84302 (41.494905, -112.019187)",04/01/2020 12:00:00 AM,,
465094,WOODLAND PARK REHABILITATION AND CARE CENTER,3855 SOUTH 700 EAST,SALT LAKE CITY,UT,84106,03/16/2017 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Let residents refuse treatment, refuse to take part in an experiment, or formulate advance directives.",155,D,"Deficient, Provider has date of correction",05/16/2017 12:00:00 AM,3,true,false,"3855 SOUTH 700 EAST SALT LAKE CITY, UT 84106 (40.688771, -111.871385)",04/01/2020 12:00:00 AM,,
465003,HERITAGE PARK HEALTHCARE AND REHABILITATION,2700 WEST 5600 SOUTH,ROY,UT,84067,01/17/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,689,D,"Deficient, Provider has date of correction",03/01/2018 12:00:00 AM,2,true,false,"2700 WEST 5600 SOUTH ROY, UT 84067 (41.161662, -112.045195)",04/01/2020 12:00:00 AM,,
465090,CASCADES AT ORCHARD PARK,740 NORTH 300 EAST,OREM,UT,84057,02/09/2017 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that each resident's 1) entire drug/medication regimen is free from unnecessary drugs, and 2) is managed and monitored to achieve highest level of well-being.,329,D,"Deficient, Provider has date of correction",04/15/2017 12:00:00 AM,3,true,false,"740 NORTH 300 EAST OREM, UT 84057 (40.311156, -111.688606)",04/01/2020 12:00:00 AM,
465072,CITY CREEK POST-ACUTE,165 SOUTH 1000 EAST,SALT LAKE CITY,UT,84102,11/07/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Implement gradual dose reductions(GDR) and non-pharmacological interventions, unless contraindicated, prior to initiating or instead of continuing psychotropic medication; and PRN orders for psychotropic medications are only used when the medication is ne",758,D,"Deficient, Provider has date of correction",02/01/2019 12:00:00 AM,2,true,false,"165 SOUTH 1000 EAST SALT LAKE CITY, UT 84102 (40.765707, -111.862465)",04/01/2020 12:00:00 AM,,
465084,UINTAH BASIN REHABILITATION AND SENIOR VILLA,265 NORTH 300 WEST,ROOSEVELT,UT,84066,04/05/2018 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",584,D,"Deficient, Provider has date of correction",05/14/2018 12:00:00 AM,2,true,false,"265 NORTH 300 WEST ROOSEVELT, UT 84066 (40.302939, -109.997087)",04/01/2020 12:00:00 AM,,
465066,AVALON WEST HEALTH & REHABILITATION,6246 SOUTH REDWOOD ROAD,SALT LAKE CITY,UT,84123,09/13/2018 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",812,F,"Deficient, Provider has date of correction",11/08/2018 12:00:00 AM,2,true,true,"6246 SOUTH REDWOOD ROAD SALT LAKE CITY, UT 84123 (40.637753, -111.938793)",04/01/2020 12:00:00 AM,,
465003,HERITAGE PARK HEALTHCARE AND REHABILITATION,2700 WEST 5600 SOUTH,ROY,UT,84067,08/18/2016 12:00:00 AM,Health,false,Administration Deficiencies,"Keep accurate, complete and organized clinical records on each resident that meet professional standards.",514,D,"Deficient, Provider has date of correction",09/16/2016 12:00:00 AM,3,true,false,"2700 WEST 5600 SOUTH ROY, UT 84067 (41.161662, -112.045195)",04/01/2020 12:00:00 AM,,
465075,ROCKY MOUNTAIN CARE - HUNTER HOLLOW,4090 WEST PIONEER PARKWAY,WEST VALLEY CITY,UT,84120,12/12/2017 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Honor the resident's right to a dignified existence, self-determination, communication, and to exercise his or her rights.",550,G,"Deficient, Provider has date of correction",01/02/2018 12:00:00 AM,2,true,true,"4090 WEST PIONEER PARKWAY WEST VALLEY CITY, UT 84120 (40.69839, -111.988691)",04/01/2020 12:00:00 AM,,
465107,HERITAGE HILLS REHABILITATION AND CARE CENTER,1100 NORTH 400 EAST,NEPHI,UT,84648,04/05/2018 12:00:00 AM,Health,false,Administration Deficiencies,"Keep complete, dated laboratory records in the resident's record.",775,D,"Deficient, Provider has date of correction",05/21/2018 12:00:00 AM,2,true,false,"1100 NORTH 400 EAST NEPHI, UT 84648 (39.724284, -111.828467)",04/01/2020 12:00:00 AM,,
465066,AVALON WEST HEALTH & REHABILITATION,6246 SOUTH REDWOOD ROAD,SALT LAKE CITY,UT,84123,09/13/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure that feeding tubes are  not used unless there is a medical reason and the resident agrees, and provide appropriate care for a resident with a feeding tube.,693,D,"Deficient, Provider has date of correction",11/08/2018 12:00:00 AM,2,true,false,"6246 SOUTH REDWOOD ROAD SALT LAKE CITY, UT 84123 (40.637753, -111.938793)",04/01/2020 12:00:00 AM,
465091,DRAPER REHABILITATION AND CARE CENTER,12702 SOUTH FORT STREET,DRAPER,UT,84020,08/30/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure residents do not lose the ability to perform activities of daily living unless there is a medical reason.,676,D,"Deficient, Provider has date of correction",09/30/2018 12:00:00 AM,2,true,true,"12702 SOUTH FORT STREET DRAPER, UT 84020 (40.520724, -111.86467)",04/01/2020 12:00:00 AM,,
465090,CASCADES AT ORCHARD PARK,740 NORTH 300 EAST,OREM,UT,84057,05/24/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Ensure a licensed pharmacist perform a monthly drug regimen review, including the medical chart, following irregularity reporting guidelines in developed policies and procedures.",756,D,"Deficient, Provider has date of correction",07/06/2018 12:00:00 AM,2,true,false,"740 NORTH 300 EAST OREM, UT 84057 (40.311156, -111.688606)",04/01/2020 12:00:00 AM,,
465112,LIFE CARE CENTER OF BOUNTIFUL,460 WEST 2600 SOUTH,BOUNTIFUL,UT,84010,10/17/2018 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,689,E,"Deficient, Provider has date of correction",12/01/2018 12:00:00 AM,2,false,true,"460 WEST 2600 SOUTH BOUNTIFUL, UT 84010 (40.861574, -111.885632)",04/01/2020 12:00:00 AM,,
465095,ST JOSEPH VILLA,451 EAST BISHOP FEDERAL LANE,SALT LAKE CITY,UT,84115,08/18/2016 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Provide necessary care and services to maintain or improve the highest well being of each resident .,309,G,"Deficient, Provider has date of correction",09/20/2016 12:00:00 AM,3,true,false,"451 EAST BISHOP FEDERAL LANE SALT LAKE CITY, UT 84115 (40.728009, -111.877569)",04/01/2020 12:00:00 AM,,
465079,SUNSHINE TERRACE FOUNDATION,248 WEST 300 NORTH,LOGAN,UT,84321,08/31/2017 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Provide care by qualified persons according to each resident's written plan of care.,282,D,"Deficient, Provider has date of correction",10/06/2017 12:00:00 AM,3,true,false,"248 WEST 300 NORTH LOGAN, UT 84321 (41.737251, -111.840935)",04/01/2020 12:00:00 AM,,
465094,WOODLAND PARK REHABILITATION AND CARE CENTER,3855 SOUTH 700 EAST,SALT LAKE CITY,UT,84106,08/19/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Provide pharmaceutical services to meet the needs of each resident and employ or obtain the services of a licensed pharmacist.,755,E,"Deficient, Provider has date of correction",10/07/2019 12:00:00 AM,1,true,false,"3855 SOUTH 700 EAST SALT LAKE CITY, UT 84106 (40.688771, -111.871385)",04/01/2020 12:00:00 AM,,
465097,HERITAGE CARE CENTER,350 EAST 300 NORTH,AMERICAN FORK,UT,84003,12/13/2018 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",584,E,"Deficient, Provider has date of correction",02/06/2019 12:00:00 AM,2,true,false,"350 EAST 300 NORTH AMERICAN FORK, UT 84003 (40.383001, -111.78915)",04/01/2020 12:00:00 AM,,
465102,PARKDALE HEALTH AND REHAB,250 EAST 600 NORTH,PRICE,UT,84501,08/30/2016 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,Ensure that each resident's 1) entire drug/medication regimen is free from unnecessary drugs, and 2) is managed and monitored to achieve highest level of well-being.,329,D,"Deficient, Provider has date of correction",10/01/2016 12:00:00 AM,3,true,false,"250 EAST 600 NORTH PRICE, UT 84501 (39.609795, -110.806187)",04/01/2020 12:00:00 AM,
465057,FOUR CORNERS REGIONAL CARE CENTER,818 NORTH 400 WEST,BLANDING,UT,84511,12/08/2016 12:00:00 AM,Health,false,Nutrition and Dietary Deficiencies,Make sure that special or therapeutic diets are ordered by the attending doctor.,367,E,"Deficient, Provider has date of correction",02/01/2017 12:00:00 AM,3,true,false,"818 NORTH 400 WEST BLANDING, UT 84511 (37.637292, -109.484984)",04/01/2020 12:00:00 AM,,
465067,ROCKY MOUNTAIN CARE - CLEARFIELD,1481 EAST 1450 SOUTH,CLEARFIELD,UT,84015,01/10/2019 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Honor the resident's right to a dignified existence, self-determination, communication, and to exercise his or her rights.",550,D,"Deficient, Provider has date of correction",02/15/2019 12:00:00 AM,2,true,false,"1481 EAST 1450 SOUTH CLEARFIELD, UT 84015 (41.092837, -111.997821)",04/01/2020 12:00:00 AM,,
465086,MOUNTAIN VIEW HEALTH SERVICES,5865 SOUTH WASATCH DRIVE,OGDEN,UT,84403,06/24/2019 12:00:00 AM,Health,false,Resident Rights Deficiencies,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",584,E,"Deficient, Provider has date of correction",08/10/2019 12:00:00 AM,1,true,false,"5865 SOUTH WASATCH DRIVE OGDEN, UT 84403 (41.15672, -111.935759)",04/01/2020 12:00:00 AM,,
465115,THE TERRACE AT MT OGDEN,400 EAST 5350 SOUTH,OGDEN,UT,84405,10/20/2016 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,Make sure that residents receive treatments/services to maintain or improve their ability to care for themselves.,311,D,"Deficient, Provider has date of correction",11/23/2016 12:00:00 AM,3,true,false,"400 EAST 5350 SOUTH OGDEN, UT 84405 (41.166107, -111.970993)",04/01/2020 12:00:00 AM,,
465093,WILLOW GLEN HEALTH AND REHAB,775 NORTH 200 EAST,BRIGHAM CITY,UT,84302,01/24/2019 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Ensure a licensed pharmacist perform a monthly drug regimen review, including the medical chart, following irregularity reporting guidelines in developed policies and procedures.",756,D,"Deficient, Provider has date of correction",02/27/2019 12:00:00 AM,2,true,false,"775 NORTH 200 EAST BRIGHAM CITY, UT 84302 (41.526076, -112.012262)",04/01/2020 12:00:00 AM,,
465049,SPRING CREEK HEALTHCARE CENTER,4600 SOUTH HIGHLAND DRIVE,SALT LAKE CITY,UT,84117,05/23/2019 12:00:00 AM,Health,false,Quality of Life and Care Deficiencies,"Provide safe, appropriate pain management for a resident who requires such services.",697,D,"Deficient, Provider has date of correction",07/01/2019 12:00:00 AM,1,true,false,"4600 SOUTH HIGHLAND DRIVE SALT LAKE CITY, UT 84117 (40.671717, -111.840756)",04/01/2020 12:00:00 AM,,
465067,ROCKY MOUNTAIN CARE - CLEARFIELD,1481 EAST 1450 SOUTH,CLEARFIELD,UT,84015,01/10/2019 12:00:00 AM,Health,false,Environmental Deficiencies,"Make sure that the nursing home area is safe, easy to use, clean and comfortable for residents, staff and the public.",921,E,"Deficient, Provider has date of correction",02/15/2019 12:00:00 AM,2,true,true,"1481 EAST 1450 SOUTH CLEARFIELD, UT 84015 (41.092837, -111.997821)",04/01/2020 12:00:00 AM,,
465062,SOUTH DAVIS COMMUNITY CARE CENTER,401 SOUTH 400 EAST,BOUNTIFUL,UT,84010,02/27/2018 12:00:00 AM,Health,false,Pharmacy Service Deficiencies,"Ensure a licensed pharmacist perform a monthly drug regimen review, including the medical chart, following irregularity reporting guidelines in developed policies and procedures.",756,D,"Deficient, Provider has date of correction",05/07/2018 12:00:00 AM,2,true,false,"401 SOUTH 400 EAST BOUNTIFUL, UT 84010 (40.884928, -111.872356)",04/01/2020 12:00:00 AM,,
465020,PIONEER CARE CENTER,815 SOUTH 200 WEST,BRIGHAM CITY,UT,84302,06/21/2018 12:00:00 AM,Health,false,Administration Deficiencies,Provide or obtain laboratory tests/services when ordered and promptly tell the ordering practitioner of the results.,773,E,"Deficient, Provider has date of correction",08/08/2018 12:00:00 AM,2,true,false,"815 SOUTH 200 WEST BRIGHAM CITY, UT 84302 (41.494905, -112.019187)",04/01/2020 12:00:00 AM,,
465092,UINTAH HEALTH CARE SPECIAL SERVICE DISTRICT,510 SOUTH 500 WEST,VERNAL,UT,84078,04/26/2017 12:00:00 AM,Health,false,"Freedom from Abuse, Neglect, and Exploitation Deficiencies","Keep each resident free from physical restraints, unless needed for medical treatment.",221,E,"Deficient, Provider has date of correction",06/09/2017 12:00:00 AM,3,true,false,"510 SOUTH 500 WEST VERNAL, UT 84078 (40.44817, -109.537906)",04/01/2020 12:00:00 AM,,
465074,WILLOW WOOD CARE CENTER,1205 EAST 4725 SOUTH,SALT LAKE CITY,UT,84117,06/26/2017 12:00:00 AM,Health,false,Environmental Deficiencies,"Have a program that investigates, controls and keeps infection from spreading.",441,E,"Deficient, Provider has date of correction",09/05/2017 12:00:00 AM,3,false,true,"1205 EAST 4725 SOUTH SALT LAKE CITY, UT 84117 (40.6675, -111.857216)",04/01/2020 12:00:00 AM,,
